stationid,location,provincE_ID,provincE_NAME,amphuR_ID,amphuR_NAME,tumboL_ID,tumboL_NAME,latitude,longitude,awsserialname,awsrecordtime,awsptemperature,awspressure,awsrainfall,awstemperature,awsrelatviehumidity,awswindspeed,awswinddirection,awsactivestatus,awslastupdate,aqserialname,aqtemperature,aqdewpoint,aqnO2,aqO3,aqox,aqrelativehumidity,aqpM1,aqpM25,aqpM10,aqtsp,aqactivestatus,aqlastupdate,accumulaterainfalL3HOURS,accumulaterainfalL24HOURS,accumulaterainfalllastupdate,accumulaterainfallrecordtime,region,id,aqrecordtime,statioN_CODE,awsbatteryvolt,accumulaterainfalL24HOURS_DESC,aqpM25_DESC
543,WB26 - บ้านบ่อม่วง ต.ทรายขาว อ.คลองท่อม จ.กระบี่,81,กระบี่,8104,คลองท่อม,810404,ทรายขาว,7.67705,99.19907,AWS3565-197,2023-05-25 10:50:00.0,31.44,1011,1011,1011,83.9,.147,336.8,1,2023-05-25 11:00:00.0,R-AQ-AT197,29.7,28.81,19,14,,95.55,,23.85,55.75,,1,2023-05-25 11:00:00.0,0,.7,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,S,543,2023-05-25 10:50:00.0,WB26,13.06,ฝนตกเล็กน้อย,คุณภาพอากาศดีมาก
530,WB13 - บ้านแหลมสัก ต.แหลมสัก อ.อ่าวลึก จ.กระบี่,81,กระบี่,8105,อ่าวลึก,810502,แหลมสัก,8.02893,98.92782,AWS3565-191,2023-05-25 10:50:00.0,34.01,1009,1009,1009,74.83,.522,213.5,1,2023-05-25 11:00:00.0,R-AQ-AT191,33.6,26.96,10,20,,66.8,,15.3,40.3,,1,2023-05-25 11:00:00.0,0,0,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,S,530,2023-05-25 10:50:00.0,WB13,13.07,ไม่มีฝน,คุณภาพอากาศดีมาก
145,TG74 - มัสยิดบ้านโล๊ะบาหรา ต.ศาลาด่าน อ.เกาะลันตา จ.กระบี่,81,กระบี่,8103,เกาะลันตา,810305,ศาลาด่าน,7.63494,99.03396,AWS2963-079,2023-05-25 10:50:00.0,32.54,1012,1012,1012,89.6,1.227,244.7,1,2023-05-25 11:00:00.0,AQY BE-1294A,31.63,30.6,15,10.34,,94.3,,8.3,20.9,,1,2023-05-25 11:00:00.0,.9,.9,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,S,143,2023-05-25 10:50:00.0,TG74,12.49,ฝนตกเล็กน้อย,คุณภาพอากาศดีมาก
557,WB09 - บ้านศาลาด่าน ต.ศาลาด่าน อ.เกาะลันตา จ.กระบี่,81,กระบี่,8103,เกาะลันตา,810305,ศาลาด่าน,7.64735,99.03523,AWS3565-201,2023-05-25 10:50:00.0,31.83,1010,1010,1010,81.9,3.122,280.3,1,2023-05-25 11:00:00.0,R-AQ-AT201,32.65,27.21,12,5.5,,72.8,,20.45,51.4,,1,2023-05-25 11:00:00.0,3.3,3.3,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,S,557,2023-05-25 10:50:00.0,WB09,13.02,ฝนตกเล็กน้อย,คุณภาพอากาศดีมาก
559,WB28 - บ้านลันตาน้อย ต.เกาะลันตาน้อย อ.เกาะลันตา จ.กระบี่,81,กระบี่,8103,เกาะลันตา,810302,เกาะลันตาน้อย,7.6715,99.04283,AWS3565-199,2023-05-25 10:50:00.0,32.39,1010,1010,1010,75.79,1.252,326.8,1,2023-05-25 11:00:00.0,R-AQ-AT199,31.5,27.73,17,16.5,,81.15,,20.9,51.9,,1,2023-05-25 11:00:00.0,0,6.5,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,S,559,2023-05-25 10:50:00.0,WB28,13.07,ฝนตกเล็กน้อย,คุณภาพอากาศดีมาก
558,WB31 - เทศบาลตำบลเกาะลันตาใหญ่ ต.เกาะลันตาใหญ่ อ.เกาะลันตา จ.กระบี่,81,กระบี่,8103,เกาะลันตา,810301,เกาะลันตาใหญ่,7.53044,99.09495,AWS3565-200,2023-05-25 10:50:00.0,32.58,1010,1010,1010,75.69,1.813,280.8,1,2023-05-25 11:00:00.0,R-AQ-AT200,31,28.06,20,2.5,,85.3,,19.35,50,,1,2023-05-25 11:00:00.0,0,0,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,S,558,2023-05-25 10:50:00.0,WB31,13.06,ไม่มีฝน,คุณภาพอากาศดีมาก
527,WB16 - บ้านคลองประสงค์ หมู่2 ต.คลองประสงค์ อ.เมืองกระบี่ จ.กระบี่,81,กระบี่,8101,เมืองกระบี่,810118,คลองประสงค์,8.029225,98.92804,AWS3565-194,2023-05-25 10:50:00.0,33.29,1011,1011,1011,77.17,4.59,224.3,1,2023-05-25 11:00:00.0,R-AQ-AT194,32.1,28.46,17,.5,,81.8,,18.8,49.35,,1,2023-05-25 11:00:00.0,0,0,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,S,527,2023-05-25 10:50:00.0,WB16,13.06,ไม่มีฝน,คุณภาพอากาศดีมาก
147,TG78 - มัสยิดบ้านคลองแห้ง หมู่ 5 ต.อ่าวนาง อ.เมืองกระบี่ จ.กระบี่,81,กระบี่,8103,เมืองกระบี่,810306,อ่าวนาง,8.0496,98.8536,AWS2963-077,2023-05-25 10:50:00.0,34.61,1011,1011,1011,77.07,1.518,251.5,1,2023-05-25 11:00:00.0,AQY BE-1292,33.67,32.1,15,10.14,,91.7,,8.1,16.4,,1,2023-05-25 11:00:00.0,0,0,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,S,145,2023-05-25 10:50:00.0,TG78,12.72,ไม่มีฝน,คุณภาพอากาศดีมาก
533,WB01 - เกาะ พีพี 1 ( อ่าวต้นไทร ) ต.อ่าวนาง อ.เมืองกระบี่ จ.กระบี่,81,กระบี่,8101,เมืองกระบี่,810116,อ่าวนาง,7.73993,98.77328,AWS3565-195,2023-05-25 10:50:00.0,33.3,1011,1011,1011,72.61,1.702,346.9,1,2023-05-25 11:00:00.0,R-AQ-AT195,30.4,25.2,12,0,,74,,20.8,52.7,,1,2023-05-25 11:00:00.0,0,3.3,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,S,533,2023-05-25 10:50:00.0,WB01,13.06,ฝนตกเล็กน้อย,คุณภาพอากาศดีมาก
529,WB03 - หาดอ่าวนาง ต.อ่าวนาง อ.เมืองกระบี่ จ.กระบี่,81,กระบี่,8101,เมืองกระบี่,810116,อ่าวนาง,8.03245,98.82048,AWS3565-192,2023-05-25 10:50:00.0,33.26,1011,1011,1011,74.49,4.301,307.9,1,2023-05-25 11:00:00.0,R-AQ-AT192,29.6,25.35,25,0,,78.75,,21.2,52.35,,1,2023-05-25 11:00:00.0,0,0,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,S,529,2023-05-25 10:50:00.0,WB03,12.9,ไม่มีฝน,คุณภาพอากาศดีมาก
528,WB07 - ร.ร.บ้านแหลมโพธิ์ ต.ไสไทย อ.เมืองกระบี่ จ.กระบี่,81,กระบี่,8101,เมืองกระบี่,810115,ไสไทย,8.03235,98.89185,AWS3565-193,2023-05-25 10:50:00.0,33.12,1010,1010,1010,70.65,2.068,190.6,1,2023-05-25 11:00:00.0,R-AQ-AT193,31.85,26.18,10,29,,71.65,,18.65,49.1,,1,2023-05-25 11:00:00.0,0,0,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,S,528,2023-05-25 10:50:00.0,WB07,13.08,ไม่มีฝน,คุณภาพอากาศดีมาก
542,WB21 - บ้านแหลมกรวด ต.คลองขนาน อ.เหนือคลอง จ.กระบี่,,กระบี่,,เหนือคลอง,,คลองขาน,7.89155,99.02612,AWS3565-196,2023-05-25 10:50:00.0,35.01,1010,1010,1010,66.09,1.82,302,1,2023-05-25 11:00:00.0,R-AQ-AT196,35.1,27.57,7,22.5,,62.35,,18.4,48.8,,1,2023-05-25 11:00:00.0,0,.1,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,S,542,2023-05-25 10:50:00.0,WB21,12.94,ฝนตกเล็กน้อย,คุณภาพอากาศดีมาก
561,WB23 - โรงเรียนบ้านเกาะจำ ต.เกาะศรีบอยา อ.เหนือคลอง จ.กระบี่,81,กระบี่,8108,เหนือคลอง,810806,ตลิ่งชัน,7.79306,98.99129,AWS3565-198,2023-05-25 10:50:00.0,32.3,1011,1011,1011,73.41,1.527,246.9,1,2023-05-25 11:00:00.0,R-AQ-AT198,31.95,26.76,19,1,,74.05,,30.4,62.4,,1,2023-05-25 11:00:00.0,0,3.1,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,S,561,2023-05-25 10:50:00.0,WB23,13,ฝนตกเล็กน้อย,คุณภาพอากาศดี
400,CD02 - เทศบาลตำบลเอราวัณ ต.ท่ากระดาน อ.ศรีสวัสดิ์ จ.กาญจนบุรี,,กาญจนบุรี,,ศรีสวัสดิ์,,เอราวัณ,14.38365,99.13776,AWS3565-052,2023-05-25 10:50:00.0,32.69,995,995,995,53.07,2.966,297,1,2023-05-25 11:00:00.0,R-AQ-AT051,34.5,25.9,6,12,,57,,23,52.6,,1,2023-05-25 11:00:00.0,0,0,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,W,400,2023-05-25 10:50:00.0,CD02,12.86,ไม่มีฝน,คุณภาพอากาศดีมาก
417,TA05 - บ้านเลขที่ 82 (นายปาน ทองปรุ) บ้านช่องสะเดา หมู่ 1 ต.ช่องสะเดา อ.เมืองกาญจนบุรี จ.กาญจนบุรี,81,กาญจนบุรี,8103,เมืองกาญจนบุรี,810312,ช่องสะเดา,14.2486,99.21832,AWS3565-054,2023-05-25 10:50:00.0,33.74,1003,1003,1003,48.04,1.918,333.6,1,2023-05-25 11:00:00.0,R-AQ-AT054,35.3,24.89,6,16.5,,47.95,,21,49.85,,1,2023-05-25 11:00:00.0,0,0,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,W,417,2023-05-25 10:50:00.0,TA05,12.55,ไม่มีฝน,คุณภาพอากาศดีมาก
61,TA08 - องค์การบริหารส่วนตำบลช่องสะเดา หมู่ 6 ต.ช่องสะเดา อ.เมืองกาญจนบุรี จ.กาญจนบุรี,81,กาญจนบุรี,8103,เมืองกาญจนบุรี,810315,ช่องสะเดา,14.21527,99.2188,AWS2963-144,2023-05-25 10:50:00.0,34.09,1002,1002,1002,51.09,1.732,255.8,1,2023-05-25 11:00:00.0,DP 15062020-1261,,,6,16.5,,,1.63,11.12,19.86,2.03,1,2023-05-25 11:00:00.0,0,0,2023-05-25 11:00:00.0,2023-05-25 11:00:00.0,W,59,2023-05-25 10:50:00.0,TA08,12.76,ไม่มีฝน,คุณภาพอากาศดีมาก
62,TA13 - ศาลาเอนกประสงค์ บ้านท่าเสา หมู่ 2 ต.ลาดหญ้า อ.เมืองกาญจนบุรี จ.กาญจนบุรี,81,กาญจนบุรี,8103,เมืองกาญจนบุรี,810319,ลาดหญ้า,14.70881,99.40842,AWS2963-145,2023-05-25 10:50:00.0,34.48,1005,1005,1005,52.01,2.963,293.8,1,2023-05-25 11:00:00.0,AQY BE-1261A,33.31,25.4,6,16.5,,63.3,,16.3,33.4,,1,2023-05-25 11:00:00.0,.1,.1,2023-05-25 11:00:00.0,2023-05-25 11:00:00.0,W,60,2023-05-25 10:50:00.0,TA13,13.22,ฝนตกเล็กน้อย,คุณภาพอากาศดีมาก
418,TA15 - ประปาหมู่บ้าน บ้านวังจาน หมู่ 8 ต.วังด้ง อ.เมืองกาญจนบุรี จ.กาญจนบุรี,81,กาญจนบุรี,8103,เมืองกาญจนบุรี,810320,วังด้ง,14.14721,99.30926,AWS3565-055,2023-05-25 10:50:00.0,34.3,1006,1006,1006,51.52,2.785,322.7,1,2023-05-25 11:00:00.0,R-AQ-AT055,36.9,25.38,6,41,,42.38,,19.33,45.5,,0,2023-05-25 11:00:00.0,0,.1,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,W,418,2023-05-20 11:40:00.0,TA15,12.69,ฝนตกเล็กน้อย,คุณภาพอากาศดีมาก
404,TA17 - สหกรณ์ผู้ใช้น้ำ บ้านวังด้ง หมู่ 1 ต.วังด้ง อ.เมืองกาญจนบุรี จ.กาญจนบุรี,81,กาญจนบุรี,8103,เมืองกาญจนบุรี,810322,วังด้ง,14.12356,99.36337,AWS3565-056,2023-05-25 10:50:00.0,33.42,1005,1005,1005,49.92,1.836,312.7,1,2023-05-25 11:00:00.0,R-AQ-AT056,34.9,25.24,7,23,,51.7,,27.4,60.3,,1,2023-05-25 11:00:00.0,0,0,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,W,404,2023-05-25 10:50:00.0,TA17,12.59,ไม่มีฝน,คุณภาพอากาศดี
377,TA18 - ศาลาเอนกประสงค์ บ้านท่าโป่ง หมู่ 3 ต.วังด้ง อ.เมืองกาญจนบุรี จ.กาญจนบุรี,81,กาญจนบุรี,8103,เมืองกาญจนบุรี,810323,วังด้ง,14.148,99.2949,AWS4364-073,2023-05-25 10:50:00.0,35.51,1004,1004,1004,50.05,1.298,330.2,1,2023-05-25 11:00:00.0,AQY-R AA 0073,35.51,24.4,22,0,,52.7,,41.3,58.4,,1,2023-05-25 11:00:00.0,0,0,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,W,374,2023-05-25 10:50:00.0,TA18,13.45,ไม่มีฝน,คุณภาพอากาศดี
33,TA00 - องค์การบริหารส่วนตำบลลุ่มสุ่ม ต.ลุ่มสุ่ม อ.ไทรโยค จ.กาญจนบุรี,81,กาญจนบุรี,8103,ไทรโยค,810308,ลุ่มสุ่ม,14.1019,99.14471,AWS2963-143,2023-05-25 10:50:00.0,35.17,1003,1003,1003,52.25,1.364,327.4,1,2023-05-25 11:00:00.0,R-AQ-AT057,34.41,24.9,14,8.25,,58,,28.8,45.9,,1,2023-05-25 11:00:00.0,0,.3,2023-05-25 11:00:00.0,2023-05-25 11:00:00.0,W,31,2023-05-25 10:50:00.0,TA00,12.3,ฝนตกเล็กน้อย,คุณภาพอากาศดี
402,TA02 - เทศบาลตำบลวังโพธิ์ ต.ลุ่มสุ่ม อ.ไทรโยค จ.กาญจนบุรี,81,กาญจนบุรี,8103,ไทรโยค,810310,ลุ่มสุ่ม,14.11632,99.1485,AWS3565-053,2023-05-25 10:50:00.0,34.98,1002,1002,1002,52.21,1.497,340.7,1,2023-05-25 11:00:00.0,R-AQ-AT053,36.5,26.22,6,14.5,,48.6,,26.2,58.85,,1,2023-05-25 11:00:00.0,0,0,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,W,402,2023-05-25 10:50:00.0,TA02,12.8,ไม่มีฝน,คุณภาพอากาศดี
351,NC01 - อบต.ดินจี่ ต.ดินจี่ อ.คำม่วง จ.กาฬสินธุ์,46,กาฬสินธุ์,4610,คำม่วง,461005,ดินจี่,16.93589,103.73299,AWS4364-115,2023-05-25 10:50:00.0,30.09,986,986,986,79.62,.503,241,1,2023-05-25 11:00:00.0,AQY-R AA 0115,29.43,29.4,0,38.1,,99.9,,18.6,28.9,,1,2023-05-25 11:00:00.0,0,.9,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,NE,348,2023-05-25 10:50:00.0,NC01,12.43,ฝนตกเล็กน้อย,คุณภาพอากาศดีมาก
577,NC03 - องค์การบริหารส่วนตำบลลำชี ต.ลำชี อ.ฆ้องชัย จ.กาฬสินธุ์,46,กาฬสินธุ์,4618,ฆ้องชัย,461805,ลำชี,16.21338,103.48117,AWS3565-143,2023-05-25 10:50:00.0,31.36,994,994,994,67.03,1.947,209.6,1,2023-05-25 11:00:00.0,R-AQ-AT143,30.5,24.31,1,55,,69.05,,36.4,70.1,,1,2023-05-25 11:00:00.0,0,0,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,NE,577,2023-05-25 10:50:00.0,NC03,13.02,ไม่มีฝน,คุณภาพอากาศดี
83,TA20 - ศาลาประชาคม บ้านท่าเยี่ยม หมู่ 6 ต.ลำชี อ.ฆ้องชัย จ.กาฬสินธุ์,81,กาฬสินธุ์,8103,ฆ้องชัย,810324,ลำชี,16.20685,103.52386,AWS2963-115,2023-05-25 10:50:00.0,33.95,993,993,993,62.34,1.072,168.3,1,2023-05-25 11:00:00.0,DP 15062020-1260A,,,19,30.25,,,2.19,13.05,37.48,1.8,1,2023-05-25 11:00:00.0,0,0,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,NE,81,2023-05-25 10:50:00.0,TA20,12.88,ไม่มีฝน,คุณภาพอากาศดีมาก
576,TA23 - วัดโนนแดงใต้ หมู่ 2 ต.ลำชี อ.ฆ้องชัย จ.กาฬสินธุ์,81,กาฬสินธุ์,8103,ฆ้องชัย,810327,ลำชี,16.21964,103.45131,AWS3565-144,2023-05-25 08:50:00.0,29.36,994,994,994,73.86,.789,177.6,1,2023-05-25 11:00:00.0,R-AQ-AT144,35.05,25.82,14,15,,53.85,,34.45,67.75,,1,2023-05-25 11:00:00.0,0,0,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,NE,576,2023-05-25 10:50:00.0,TA23,13.07,ไม่มีฝน,คุณภาพอากาศดี
575,NC02 - ศูนย์พัฒนาเด็กเล็กบ้านขมิ้น ต.ผาเสวย อ.สมเด็จ จ.กาฬสินธุ์,46,กาฬสินธุ์,4613,สมเด็จ,461306,ผาเสวย,16.77555,103.84005,AWS3565-145,2023-05-25 10:50:00.0,26.11,984,984,984,88.2,.432,113.6,1,2023-05-25 11:00:00.0,R-AQ-AT145,26.4,25.31,25,45.5,,94.55,,138.4,204.2,,1,2023-05-25 11:00:00.0,0,.2,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,NE,575,2023-05-25 10:50:00.0,NC02,13.12,ฝนตกเล็กน้อย,เริ่มมีผลกระทบต่อสุขภาพ
41,TA39 - องค์การบริหารส่วนตำบลวังไทร ต.วังไทร อ.คลองขลุง จ.กำแพงเพชร,81,กำแพงเพชร,8103,คลองขลุง,810339,วังไทร,16.21864,99.62064,AWS2963-039,2023-05-25 10:50:00.0,40.92,1001,1001,1001,54.63,.907,13.45,1,2023-05-25 11:00:00.0,AQY BE-1267A,38.13,28.5,0,38.2,,58.2,,66,90.06,,1,2023-05-25 11:00:00.0,0,2,2023-05-25 11:00:00.0,2023-05-25 11:00:00.0,C,39,2023-05-25 10:50:00.0,TA39,13.37,ฝนตกเล็กน้อย,ปานกลาง
40,TA25 - บ้านเลขที่ 49 หมู่ 18 ต.คลองลานพัฒนา อ.คลองลาน จ.กำแพงเพชร,81,กำแพงเพชร,8103,คลองลาน,810328,คลองลานพัฒนา,16.12705,99.30875,AWS2963-038,2023-05-25 10:50:00.0,38.51,992,992,992,49.89,1.228,144.8,1,2023-05-25 11:00:00.0,AQY BE-1266,37.68,29,0,26.6,,61.6,,110.9,190.1,,1,2023-05-25 11:00:00.0,0,0,2023-05-25 11:00:00.0,2023-05-25 11:00:00.0,C,38,2023-05-25 10:50:00.0,TA25,13.58,ไม่มีฝน,เริ่มมีผลกระทบต่อสุขภาพ
39,TA32 - บ้านเลขที่ 19/1 หมู่ 1 ต.โป่งน้ำร้อน อ.คลองลาน จ.กำแพงเพชร,81,กำแพงเพชร,8103,คลองลาน,810334,โป่งน้ำร้อน,16.33003,99.3025,AWS2963-037,2023-05-25 10:50:00.0,36.82,995,995,995,44.81,.826,49.03,1,2023-05-25 11:00:00.0,AQY BE-1265A,37.62,25.4,0,85.9,,50,,23.4,40.4,,1,2023-05-25 11:00:00.0,0,0,2023-05-25 11:00:00.0,2023-05-25 11:00:00.0,C,37,2023-05-25 10:50:00.0,TA32,13.33,ไม่มีฝน,คุณภาพอากาศดีมาก
350,TA33 - วัดดอยแก้ว ต.โป่งน้ำร้อน อ.คลองลาน จ.กำแพงเพชร,81,กำแพงเพชร,8103,คลองลาน,810335,โป่งน้ำร้อน,16.33499,99.28923,AWS4364-120,2023-05-25 10:50:00.0,36.15,992,992,992,47.09,.86,130.4,1,2023-05-25 11:00:00.0,AQY-R AA 0120,37.55,23.8,0,44.8,,45.5,,43.5,61.7,,1,2023-05-25 11:00:00.0,0,.1,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,C,347,2023-05-25 10:50:00.0,TA33,12.8,ฝนตกเล็กน้อย,คุณภาพอากาศดี
38,TA37 - บ้านผู้ใหญ่บ้าน เลขที่ 164  หมู่ 11 ต.ท่าขุนราม อ.เมืองกำแพงเพชร จ.กำแพงเพชร,81,กำแพงเพชร,8103,เมืองกำแพงเพชร,810338,ท่าขุนราม,16.4522,99.45573,AWS2963-036,2023-05-25 10:50:00.0,37.13,998,998,998,52.59,1.167,163.6,1,2023-05-25 11:00:00.0,DP 15062020-1671,,,0,41.1,,,2.43,122.34,248.87,1.89,1,2023-05-25 11:00:00.0,0,.1,2023-05-25 11:00:00.0,2023-05-25 11:00:00.0,C,36,2023-05-25 10:50:00.0,TA37,12.77,ฝนตกเล็กน้อย,เริ่มมีผลกระทบต่อสุขภาพ
42,TA43 - บ้านเลขที่ 134 หมู่ 2 ต.โกสัมพี อ.โกสัมพีนคร จ.กำแพงเพชร,81,กำแพงเพชร,8103,โกสัมพีนคร,810341,โกสัมพี,16.521556,99.232389,AWS2963-040,2023-05-25 10:50:00.0,35.9,990,990,990,52.18,1.622,115.3,1,2023-05-25 11:00:00.0,AQY BE-1268A,,,,,,,,,,,0,2023-05-25 11:00:00.0,0,0,2023-05-25 11:00:00.0,2023-05-25 11:00:00.0,C,40,,TA43,13.3,ไม่มีฝน,
496,TA47 - บ้านเลขที่ 299 บ้านหนองบัวสามัคคี หมู่ 12 ต.โกสัมพี อ.โกสัมพีนคร จ.กำแพงเพชร,81,กำแพงเพชร,8103,โกสัมพีนคร,810345,โกสัมพี,16.566222,99.261861,AWS3565-080,2023-05-25 10:50:00.0,35.69,991,991,991,41.29,2.978,292.9,1,2023-05-25 11:00:00.0,R-AQ-AT080,37,24.24,0,10,,36.2,,34.1,68.05,,1,2023-05-25 11:00:00.0,0,0,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,C,496,2023-05-25 10:50:00.0,TA47,12.99,ไม่มีฝน,คุณภาพอากาศดี
266,NH01 - ม.8 บ้านท่านางแมว ต.ท่านางแมว อ.แวงน้อย จ.ขอนแก่น,40,ขอนแก่น,4014,แวงน้อย,401403,ท่านางแนว,15.85654,102.33189,AWS4364-100,2023-05-25 10:40:00.0,33.89,991,991,991,74.9,1.392,227.6,1,2023-05-25 11:00:00.0,AQY-R AA 0100,35.81,21.7,0,68.9,,44,,10.2,13.1,,1,2023-05-25 11:00:00.0,0,9.9,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,NE,263,2023-05-24 13:10:00.0,NH01,12.8,ฝนตกเล็กน้อย,คุณภาพอากาศดีมาก
267,NM03 - อุทยานแห่งชาติน้ำตกตาดโตน ต.ห้วยต้อน อ.เมืองชัยภูมิ จ.ชัยภูมิ,,ขัยภูมิ,,เมืองขัยภูมิ,,ห้วยต้อน,15.98494,102.03861,AWS4364-101,2023-05-25 10:40:00.0,33.63,976,976,976,65.13,.556,231.8,1,2023-05-25 11:00:00.0,AQY-R AA 0101,32.81,25.1,6,52,,64,,27,46.9,,1,2023-05-25 11:00:00.0,0,0,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,NE,264,2023-05-25 10:50:00.0,NM03,12.77,ไม่มีฝน,คุณภาพอากาศดี
190,TJ34 - บ้านเลขที่ 25/9 หมู่ 5 ต.คลองพลู อ.เขาคิชฌกูฏ จ.จันทบุรี,81,จันทบุรี,8103,มะขาม,810377,คลองพลู,12.95975,102.07366,AWS4364-055,2023-05-25 10:40:00.0,26.08,1005,1005,1005,90.2,.033,194.3,1,2023-05-25 11:00:00.0,AQY-R AA 0045,28,28,0,15.9,,99.9,,17.9,5.1,,1,2023-05-25 11:00:00.0,0,6.7,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,E,187,2023-05-24 18:40:00.0,TJ34,10.44,ฝนตกเล็กน้อย,คุณภาพอากาศดีมาก
347,TA79 - วัดฉมัน หมู่ 2 ต.ฉมัน อ.มะขาม จ.จันทบุรี,81,จันทบุรี,8103,มะขาม,810368,ฉมัน,12.74336,102.20772,AWS4364-045,2023-05-25 10:50:00.0,26.41,1010,1010,1010,93.8,0,0,1,2023-05-25 11:00:00.0,AQY-R AA 0085A,25.2,25.2,0,23.6,,99.9,,1.5,3.3,,1,2023-05-25 11:00:00.0,0,.1,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,E,344,2023-05-25 10:50:00.0,TA79,12.78,ฝนตกเล็กน้อย,คุณภาพอากาศดีมาก
346,TA81 - วัดทุ่งเพล หมู่ 7 ต.ฉมัน อ.มะขาม จ.จันทบุรี,81,จันทบุรี,8103,มะขาม,810370,ฉมัน,12.83536,102.22642,AWS4364-054,2023-05-25 10:50:00.0,25.79,1006,1006,1006,91.8,0,0,1,2023-05-25 11:00:00.0,AQY-R AA 0054,26.05,26,21,21.5,,99.9,,7.6,10.1,,1,2023-05-25 11:00:00.0,.9,20.5,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,E,343,2023-05-24 14:50:00.0,TA81,12.06,ฝนตกปานกลาง,คุณภาพอากาศดีมาก
597,TA82 - วัดสระโอ่ง ต.ฉมัน อ.มะขาม จ.จันทบุรี,81,จันทบุรี,8103,มะขาม,810371,ฉมัน,12.80297,102.22586,AWS3565-162,2023-05-25 10:50:00.0,25.84,1007,1007,1007,92.9,0,0,1,2023-05-25 11:00:00.0,R-AQ-AT162,25.9,25.88,17,31,,99.9,,19.8,50.6,,1,2023-05-25 11:00:00.0,15.7,154.6,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,E,597,2023-05-25 10:50:00.0,TA82,13.17,ฝนตกหนักมาก,คุณภาพอากาศดีมาก
165,TJ28 - บ้านผู้ช่วยผู้ใหญ่บ้าน เลขที่ 22/8 หมู่ 8 ต.ฉมัน อ.มะขาม จ.จันทบุรี,81,จันทบุรี,8103,มะขาม,810372,ฉมัน,12.85798,102.24095,AWS2963-128,2023-05-25 10:50:00.0,25.96,1004,1004,1004,100,0,0,1,2023-05-25 11:00:00.0,AQY BE-1346,,,,,,,,,,,0,2023-05-25 11:00:00.0,0,0,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,E,163,,TJ28,12.91,ไม่มีฝน,
285,TA75 - เทศบาลตำบลวังแซ้ม ต.วังแซ้ม อ.มะขาม จ.จันทบุรี,81,จันทบุรี,8103,มะขาม,810365,วังแซ้ม,12.75994,102.15572,AWS4364-051,2023-05-25 10:50:00.0,26.12,1009,1009,1009,88.9,1.25,197.5,1,2023-05-25 11:00:00.0,AQY-R AA 0204A,25.86,25.8,100,0,,99.9,,1.4,2.8,,1,2023-05-25 11:00:00.0,0,35.1,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,E,282,2023-05-25 10:50:00.0,TA75,12.19,ฝนตกหนัก,คุณภาพอากาศดีมาก
596,TA76 - ร้านค้าชุมชน หมู่ 3 ต.วังแซ้ม อ.มะขาม จ.จันทบุรี,81,จันทบุรี,8103,มะขาม,810366,วังแซ้ม,12.7363,102.18894,AWS3565-163,2023-05-25 10:50:00.0,25.86,1010,1010,1010,90.3,.108,37.07,1,2023-05-25 11:00:00.0,R-AQ-AT163,26,25.8,23,0,,99,,15.1,44.7,,1,2023-05-25 11:00:00.0,0,.1,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,E,596,2023-05-25 10:50:00.0,TA76,13.14,ฝนตกเล็กน้อย,คุณภาพอากาศดีมาก
